name,author,price,words,description,date,language,category
First Pitch Swinging,Linda Fausnet,0.0,84730.0,"Supposedly, I'm ""too wild"" to be offered a contract by my dream baseball team. I need a wife so they'll think I've been tamed...",2023.0,English.,» Sports
Dealing With Difficult People Survival Guide,Robert J Charles,0.0,16230.0,"Want to find a way to stop someone in your life from gaslighting you without having to struggle a day longer? Time to stand up for yourself, show the world your true worth and be more than the difficult people ever thought you would be? You're someone who has so much in life to give, which is why it's such a puzzle that you think you're worth 0 right now. Well, actually, it's entirely...",2023.0,English.,» Anxieties & Phobias
Ion Itoafa: The Romanian Banker in Canada,David Itoafa,0.0,13270.0,"Prezenta carte prezinta date biografice ale familiei autorului, evenimente din copilarie si adolescenta, intimplari din viata cartierului Analdolchioi din Constanta si activitatea professionala in siistemul bancar din Romania. Fotographie ale familiei din Canada unde autorul are statutul de emigrant.",2023.0,English.,» Author profile
Encyclopedia of Herbal Medicine,julius sarino,0.0,41280.0,Unlock the Healing Power of 550 Herbs with the Encyclopedia of Herbal Medicine,2023.0,English.,» herbal medications
بينوكيو رحلة بحث عن الإله,خليل سليم,0.0,177350.0,هذا الكتاب عبارة عن رحلة بحثية عن الحقيقة، حقيقة الكون، حقيقة الكائنات، حقيقة الوجود، حقيقة الأديان، حقيقة الإنسان، حقيقة العلم، حقيقة التطور، حقيقة الخلق، حقيقة العقل، حقيقة الحواس، حقيقة الجمال، إنه محاولة لإيجاد إجابات عن أسئلة عديدة تجول في خاطر الكثير. سار الكاتب في رحلة بحث فتوصل بما كان بين يديه من معرفة إلى النتيجة في نهاية الكتاب، لعلها عزيزي القارئ تختصر عليك رحلتك، ولربما تكون لك...,2023.0,Arabic.,0
Sump Pump,A.E. Hodge,0.0,11270.0,"Things couldn’t get much worse for Gary Crawford. Once a big-shot lawyer at a major firm, Gary left his job and moved to the country after a heart attack, hoping to find a new life free of stress. Big mistake. The new house is in shambles. Spiderwebs cover everything, and the spiders are so numerous he finds them in his cereal and in his bed at night. And now, the latest problem. The sump pump...",2015.0,English.,» Gothic
"Enough Overthinking: 11 Insane Ways Overthinking Can Affect Your Health,  Destroy Your Happiness, and Steal Your Joy  – and How to Neutralize It",Robert J Charles,0.0,17410.0,"Want to be the one who breaks free from the constant overthinking that's come to dominate so many of our lives? Need to dive deeper, understand the causes, and then come out the other side stronger than you can ever imagine? Overthinking is when your brain just won't switch off: it feels like it's stuck going around and around on the same loop as a hamster stuck on a wheel. But while the...",2023.0,English.,» Anxieties & Phobias
Dealing With Difficult People Survival Guide,Robert J Charles,0.0,16230.0,"Want to find a way to stop someone in your life from gaslighting you without having to struggle a day longer? Time to stand up for yourself, show the world your true worth and be more than the difficult people ever thought you would be? You're someone who has so much in life to give, which is why it's such a puzzle that you think you're worth nothing right now. Well, actually, it's entirely...",2023.0,English.,» Anxieties & Phobias
Ion Itoafa: The Romanian Banker in Canada,David Itoafa,0.0,13270.0,"Prezenta carte prezinta date biografice ale familiei autorului, evenimente din copilarie si adolescenta, intimplari din viata cartierului Analdolchioi din Constanta si activitatea professionala in siistemul bancar din Romania. Fotographie ale familiei din Canada unde autorul are statutul de emigrant.",2023.0,English.,» Author profile
Encyclopedia of Herbal Medicine,julius sarino,0.0,41280.0,Unlock the Healing Power of 550 Herbs with the Encyclopedia of Herbal Medicine,2023.0,English.,» herbal medications
Sump Pump,A.E. Hodge,0.0,11270.0,"Things couldn’t get much worse for Gary Crawford. Once a big-shot lawyer at a major firm, Gary left his job and moved to the country after a heart attack, hoping to find a new life free of stress. Big mistake. The new house is in shambles. Spiderwebs cover everything, and the spiders are so numerous he finds them in his cereal and in his bed at night. And now, the latest problem. The sump pump...",2015.0,English.,» Gothic
"Enough Overthinking: 11 Insane Ways Overthinking Can Affect Your Health,  Destroy Your Happiness, and Steal Your Joy  – and How to Neutralize It",Robert J Charles,0.0,17410.0,"Want to be the one who breaks free from the constant overthinking that's come to dominate so many of our lives? Need to dive deeper, understand the causes, and then come out the other side stronger than you can ever imagine? Overthinking is when your brain just won't switch off: it feels like it's stuck going around and around on the same loop as a hamster stuck on a wheel. But while the...",2023.0,English.,» Anxieties & Phobias
Dealing With Difficult People Survival Guide,Robert J Charles,0.0,16230.0,"Want to find a way to stop someone in your life from gaslighting you without having to struggle a day longer? Time to stand up for yourself, show the world your true worth and be more than the difficult people ever thought you would be? You're someone who has so much in life to give, which is why it's such a puzzle that you think you're worth nothing right now. Well, actually, it's entirely...",2023.0,English.,» Anxieties & Phobias
Ion Itoafa: The Romanian Banker in Canada,David Itoafa,0.0,13270.0,"Prezenta carte prezinta date biografice ale familiei autorului, evenimente din copilarie si adolescenta, intimplari din viata cartierului Analdolchioi din Constanta si activitatea professionala in siistemul bancar din Romania. Fotographie ale familiei din Canada unde autorul are statutul de emigrant.",2023.0,English.,» Author profile
Encyclopedia of Herbal Medicine,julius sarino,0.0,41280.0,Unlock the Healing Power of 550 Herbs with the Encyclopedia of Herbal Medicine,2023.0,English.,» herbal medications
Ardent désir (Une Novella),Tina Folsom,0.99,17570.0,"Jack Stone arrive sur une île pourvue d'une source magique afin de voir se réaliser l'unique souhait de sa vie : redevenir mortel. En tant que vampire, il est fatigué de l'insatisfaisante vie empreinte de solitude qu'il a menée. C'est alors qu'il rencontre Claire Culver, une femme dont le séjour sur l'île représente le dernier espoir. Elle aspire à un miracle qui pourra la guérir d'une maladie...",2023.0,French.,» Witches
"The Fulcrum, Book One",Lenaya Fallin,1.49,24630.0,"This is a series with cliffhanger endings. ˈfʊlk.ɹəm: the fixed point, providing balance and power Life can be tricky you are submissive, genetically engineered and related to spies. She is a journalist whose biggest scoops can never be written. The current one is a doozy. Her brothers are MIA. No one seems to know the nature of the mission or even where it took place. And she's stuck on a...",2021.0,English.,» Multicultural & Interracial
"The Fulcrum, Book Four",Lenaya Fallin,1.49,36190.0,"The exciting conclusion! ˈfʊlk.ɹəm: the fixed point, providing balance and power Life can be tricky you are submissive, genetically engineered and related to spies. She is a journalist whose biggest scoops can never be written. The current one is a doozy. Her brothers are MIA. No one seems to know the nature of the mission or even where it took place. And she's stuck on a business trip when a...",2022.0,English.,» Multicultural & Interracial
"The Fulcrum, Book Two",Lenaya Fallin,1.49,24230.0,"This is a series with cliffhanger endings. ˈfʊlk.ɹəm: the fixed point, providing balance and power Life can be tricky you are submissive, genetically engineered and related to spies. She is a journalist whose biggest scoops can never be written. The current one is a doozy. Her brothers are MIA. No one seems to know the nature of the mission or even where it took place. And she's stuck on a...",2022.0,English.,» Multicultural & Interracial
