name,author,price,words,description,date,language,category
Stories from Ecuador: A Collection by Tyrel Nelson,Tyrel Nelson,2.99,"35,710.00","In Stories from Ecuador, one gets a glimpse into Tyrel Nelson's background as well as his life as an English teacher during the 2007 and 2008 school years. They also become familiar with his host community of Cuenca. Through more than thirty illustrative vignettes, the author sprinkles Spanish, photos, and pieces of his personality to set the table for the audience as they meet the neighbors...",2022,English.,» South America
Scorpio The New Astrology - Chinese And Western Zodiac Signs:,Suzanne White,2.99,"18,400.00","THIS BOOK'S ACCURATE DESCRIPTIONS OF YOUR WESTERN SUN SIGN COMBINED WITH YOUR CHINESE ANIMAL SIGNS IS ASTOUNDING. EACH CHAPTER OFFERS AN INGENIOUS BLEND OF THE WORLD'S TWO MAIN ZODIACS. THE NEW ASTROLOGY REVEALS TRUE CHARACTER AND DEFINES PERSONALITY.. THE NOISY SCORPIO/DRAGON IS ,FOR EXAMPLE, VASTLY DIFFERENT FROM A CRUSTY SCORPIO/DOG. FIND OUT IN THIS BOOK HOW ALL 12 CHINESE ANIMALS AFFECT...",2019,English.,» Astrology / eastern
Taurus The New Astrology – Chinese and Western Zodiac Signs: The New Astrology by Sun Sign,Suzanne White,2.99,"20,120.00","AN INGENIOUS BLEND OF CHINESE AND WESTERN ASTROLOGY SIGNS. FIND OUT MORE ABOUT YOURSELF AND YOUR FRIENDS, FAMILY AND EVEN YOUR DARKEST ENEMIES. SUZANNE WHITE'S NEW ASTROLOGY™ BY SUN SIGN SERIES BOOK TWO - TAURUS In this new series, Suzanne White cleverly combines individual Sun signs with Chinese Animal signs to describe 12 NEW ASTROLOGY™ signs. Each book has the name of one Sun sign. Find...",2019,English.,» Astrology / eastern
Virgo The New Astrology – Chinese and Western Zodiac Signs: The New Astrology by Sun Sign,Suzanne White,2.99,"18,720.00","VIRGO - YOUR WESTERN SUN SIGN COMBINED WITH YOUR CHINESE ANIMAL SIGN WILL ASTOUND YOU. THIS BOOK IS AN INGENIOUS BLEND OF VIRGO WITH ALL 12 CHINESE ASTROLOGY SIGNS. FIND OUT MORE ABOUT YOUR OWN NEW ASTROLOGY SIGN AND THOSE OF YOUR LOVERS, FRIENDS, FAMILY AND ENEMIES. No other sign of the occidental horoscope system (except at times the Capricorn) has such a well-developed sense of what is...",2019,English.,» Astrology / eastern
Capricorn - The New Astrology - Chinese And Western Zodiac Signs,Suzanne White,2.99,"20,160.00","In this new series, Suzanne White cleverly combines Sun signs with Chinese Animal signs to describe 12 New Astrology™ signs. Each book has the name of one Sun sign. Find yours! In each of these books, there is a generous chapter on the western Sun Sign.Then we find out what THE NEW ASTROLOGY is and how it works by mixing Sun signs with Chinese Astrology. Each book contains the entire Chinese...",2019,English.,» Astrology / eastern
Those Darn Stripes,Tyrel Nelson,2.99,"25,610.00","In the fall of 2008, Tyrel Nelson returns to the United States after teaching English in Ecuador for a year. Although living overseas was quite an adjustment for the Minnesotan, the months to follow (mostly spent around his stomping grounds) bring on life changes far bigger than anything he had encountered in South America. Fortunately, his pop and confidant, Jay, is there to guide Tyrel...",2022,English.,» Personal memoir
Sagittarius - The New Astrology - Chinese And Western Zodiac Signs:,Suzanne White,2.99,"19,670.00","AN INGENIOUS BLEND OF CHINESE AND WESTERN ASTROLOGY SIGNS. FIND OUT MORE ABOUT YOUR NEW ASTROLOGY™ SIGN AND THOSE OF YOUR LOVERS, FRIENDS, FAMILY AND ENEMIES. SUZANNE WHITE'S NEW ASTROLOGY™ BY SUN SIGN SERIES BOOK 9 - SAGITTARIUS In this new series, Suzanne White cleverly combines individual Sun signs with Chinese Animal signs to describe 12 NEW ASTROLOGY™ signs. Each book has the name of one...",2019,English.,» Astrology / eastern
The Magic of Chinese Horoscopes,Suzanne White,9.99,"132,030.00","THE MAGIC OF CHINESE HOROSCOPES is a classic work of writing genius, agility and humor. This book really sings! And it sings your personal song. Find out who you are and how the Magic of Chinese Horoscopes can enhance your life. SUZANNE WHITE, the High Priestess of Chinese Astrology, sets you on a thrilling roller coaster ride through all 12 Chinese animal signs and what they can mean to you...",2020,English.,» Astrology / eastern
Pisces The New Astrology - Chinese And Western Zodiac Signs,Suzanne White,2.99,"19,020.00","THIS BOOK'S ACCURATE DESCRIPTIONS OF WESTERN SUN SIGNS COMBINED WITH ALL 12 CHINESE ANIMAL SIGNS IS ASTOUNDING. EACH CHAPTER OFFERS AN INGENIOUS BLEND OF THE WORLD'S TWO MAIN ZODIACS. THE NEW ASTROLOGY REVEALS TRUE CHARACTER AND DEFINES PERSONALITY. THE FEISTY PISCES/DRAGON IS ,FOR EXAMPLE, VASTLY DIFFERENT FROM A MORE DOCILE PISCES/RABBIT. FIND OUT IN THIS BOOK HOW THE 12 MYSTICAL CHINESE...",2019,English.,» Astrology / eastern
Unmitigated Gaul - My Lifetime in Paris,Suzanne White,3.99,"66,020.00","UNMITIGATEGD GAUL - My LIFETIME IN PARIS is Suzanne White's outrageously funny, brave memoir. Unmitigated Gaul is the first volume of Suzanne's multi-book, autobiographical series. After university, Suzanne escapes from one-horse Buffalo, New York and moves to elegant, sexy sixties Paris, hoping to meet Prince Charming. Throughout, Suzanne White treats the reader to tales of her innocent...",2017,English.,» Personal memoir
